Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
480,10,RBFS,Inversion Distance,8,9,30
481,10,RBFS,Manhattan Distance,4,5,6
482,10,RBFS,MD + Linear Conflict Correction,2,3,3
483,10,RBFS,Inversion Distance,2,3,8
484,10,RBFS,Manhattan Distance,4,5,6
485,10,RBFS,MD + Linear Conflict Correction,6,13,18
486,10,RBFS,Inversion Distance,8,9,28
487,10,RBFS,Manhattan Distance,4,5,5
488,10,RBFS,MD + Linear Conflict Correction,4,5,6
489,10,RBFS,Inversion Distance,4,5,15
490,10,RBFS,Manhattan Distance,2,3,2
491,10,RBFS,MD + Linear Conflict Correction,6,7,8
492,10,RBFS,Inversion Distance,2,3,10
493,10,RBFS,Manhattan Distance,6,7,126
494,10,RBFS,MD + Linear Conflict Correction,6,7,9
495,10,RBFS,Inversion Distance,4,5,15
496,10,RBFS,Manhattan Distance,2,3,4
497,10,RBFS,MD + Linear Conflict Correction,8,12,16
498,10,RBFS,Inversion Distance,8,9,26
499,10,RBFS,Manhattan Distance,8,13,14
500,10,RBFS,MD + Linear Conflict Correction,4,5,5
501,10,RBFS,Inversion Distance,6,9,23
502,10,RBFS,Manhattan Distance,6,7,8
503,10,RBFS,MD + Linear Conflict Correction,2,3,3
504,10,RBFS,Inversion Distance,4,5,15
505,10,RBFS,Manhattan Distance,2,3,2
506,10,RBFS,MD + Linear Conflict Correction,8,9,11
507,10,RBFS,Inversion Distance,2,3,10
508,10,RBFS,Manhattan Distance,2,3,17
509,10,RBFS,MD + Linear Conflict Correction,8,11,16
510,10,RBFS,Inversion Distance,2,3,8
511,10,RBFS,Manhattan Distance,8,9,11
512,10,RBFS,MD + Linear Conflict Correction,6,12,16
513,10,RBFS,Inversion Distance,2,3,8
514,10,RBFS,Manhattan Distance,0,1,1
515,10,RBFS,MD + Linear Conflict Correction,6,7,9
516,10,RBFS,Inversion Distance,4,5,15
517,10,RBFS,Manhattan Distance,4,5,6
518,10,RBFS,MD + Linear Conflict Correction,6,7,8
519,10,RBFS,Inversion Distance,8,9,27
520,10,RBFS,Manhattan Distance,4,5,5
521,10,RBFS,MD + Linear Conflict Correction,2,3,3
522,10,RBFS,Inversion Distance,6,7,81
523,10,RBFS,Manhattan Distance,4,5,6
524,10,RBFS,MD + Linear Conflict Correction,4,7,10
525,10,RBFS,Inversion Distance,6,7,132
526,10,RBFS,Manhattan Distance,2,3,3
527,10,RBFS,MD + Linear Conflict Correction,4,5,5
528,10,RBFS,Inversion Distance,8,9,30
529,10,RBFS,Manhattan Distance,0,1,1
530,10,RBFS,MD + Linear Conflict Correction,6,9,11
531,10,RBFS,Inversion Distance,6,7,20
532,10,RBFS,Manhattan Distance,8,9,10
533,10,RBFS,MD + Linear Conflict Correction,0,1,1
534,10,RBFS,Inversion Distance,2,3,8
535,10,RBFS,Manhattan Distance,4,5,6
536,10,RBFS,MD + Linear Conflict Correction,2,3,3
537,10,RBFS,Inversion Distance,8,9,27
538,10,RBFS,Manhattan Distance,0,1,1
539,10,RBFS,MD + Linear Conflict Correction,6,7,9
540,10,RBFS,Inversion Distance,4,5,13
541,10,RBFS,Manhattan Distance,2,3,3
542,10,RBFS,MD + Linear Conflict Correction,10,17,23
543,10,RBFS,Inversion Distance,8,9,27
544,10,RBFS,Manhattan Distance,2,3,3
