Board_ID, Scramble_Number, Algorithm, Heuristic, Moves, Nodes_Expanded, Computation_Time(us)
429,10,RBFS,Inversion Distance,2,3,8
430,10,RBFS,Manhattan Distance,8,9,10
431,10,RBFS,MD + Linear Conflict Correction,2,3,3
432,10,RBFS,Inversion Distance,0,1,1
433,10,RBFS,Manhattan Distance,4,5,5
434,10,RBFS,MD + Linear Conflict Correction,6,7,8
435,10,RBFS,Inversion Distance,0,1,1
436,10,RBFS,Manhattan Distance,6,7,8
437,10,RBFS,MD + Linear Conflict Correction,4,5,6
438,10,RBFS,Inversion Distance,2,3,7
439,10,RBFS,Manhattan Distance,6,7,7
440,10,RBFS,MD + Linear Conflict Correction,2,3,2
441,10,RBFS,Inversion Distance,0,1,1
442,10,RBFS,Manhattan Distance,4,5,6
443,10,RBFS,MD + Linear Conflict Correction,6,7,8
444,10,RBFS,Inversion Distance,8,9,32
445,10,RBFS,Manhattan Distance,8,9,12
446,10,RBFS,MD + Linear Conflict Correction,4,5,6
447,10,RBFS,Inversion Distance,0,1,1
448,10,RBFS,Manhattan Distance,8,14,17
449,10,RBFS,MD + Linear Conflict Correction,6,7,8
450,10,RBFS,Inversion Distance,4,5,15
451,10,RBFS,Manhattan Distance,6,7,7
452,10,RBFS,MD + Linear Conflict Correction,4,9,11
453,10,RBFS,Inversion Distance,2,3,8
454,10,RBFS,Manhattan Distance,6,7,8
455,10,RBFS,MD + Linear Conflict Correction,4,5,6
456,10,RBFS,Inversion Distance,6,7,22
457,10,RBFS,Manhattan Distance,8,14,16
458,10,RBFS,MD + Linear Conflict Correction,6,7,8
459,10,RBFS,Inversion Distance,4,5,14
460,10,RBFS,Manhattan Distance,4,5,5
461,10,RBFS,MD + Linear Conflict Correction,4,8,10
462,10,RBFS,Inversion Distance,6,7,21
463,10,RBFS,Manhattan Distance,4,5,6
464,10,RBFS,MD + Linear Conflict Correction,6,7,8
465,10,RBFS,Inversion Distance,6,7,21
466,10,RBFS,Manhattan Distance,6,7,8
467,10,RBFS,MD + Linear Conflict Correction,2,3,3
468,10,RBFS,Inversion Distance,2,3,7
469,10,RBFS,Manhattan Distance,6,7,8
470,10,RBFS,MD + Linear Conflict Correction,2,3,3
471,10,RBFS,Inversion Distance,6,7,21
472,10,RBFS,Manhattan Distance,0,1,1
473,10,RBFS,MD + Linear Conflict Correction,6,7,9
474,10,RBFS,Inversion Distance,4,5,12
475,10,RBFS,Manhattan Distance,6,7,8
476,10,RBFS,MD + Linear Conflict Correction,4,5,6
477,10,RBFS,Inversion Distance,2,3,7
478,10,RBFS,Manhattan Distance,4,5,5
479,10,RBFS,MD + Linear Conflict Correction,6,7,8
480,10,RBFS,Inversion Distance,4,5,14
481,10,RBFS,Manhattan Distance,6,7,8
482,10,RBFS,MD + Linear Conflict Correction,6,7,7
483,10,RBFS,Inversion Distance,0,1,1
484,10,RBFS,Manhattan Distance,8,13,14
485,10,RBFS,MD + Linear Conflict Correction,4,7,8
486,10,RBFS,Inversion Distance,0,1,1
487,10,RBFS,Manhattan Distance,8,9,18
488,10,RBFS,MD + Linear Conflict Correction,4,5,6
489,10,RBFS,Inversion Distance,4,5,16
490,10,RBFS,Manhattan Distance,6,7,7
491,10,RBFS,MD + Linear Conflict Correction,4,7,8
492,10,RBFS,Inversion Distance,6,7,20
493,10,RBFS,Manhattan Distance,0,1,1
494,10,RBFS,MD + Linear Conflict Correction,6,15,19
495,10,RBFS,Inversion Distance,6,7,20
496,10,RBFS,Manhattan Distance,4,5,6
497,10,RBFS,MD + Linear Conflict Correction,6,7,8
498,10,RBFS,Inversion Distance,6,7,21
499,10,RBFS,Manhattan Distance,6,7,8
500,10,RBFS,MD + Linear Conflict Correction,6,7,8
501,10,RBFS,Inversion Distance,8,9,24
502,10,RBFS,Manhattan Distance,4,5,5
503,10,RBFS,MD + Linear Conflict Correction,6,8,9
504,10,RBFS,Inversion Distance,4,5,14
505,10,RBFS,Manhattan Distance,6,7,7
506,10,RBFS,MD + Linear Conflict Correction,4,5,6
507,10,RBFS,Inversion Distance,2,3,8
508,10,RBFS,Manhattan Distance,2,3,3
509,10,RBFS,MD + Linear Conflict Correction,0,1,1
510,10,RBFS,Inversion Distance,4,5,15
511,10,RBFS,Manhattan Distance,2,3,3
512,10,RBFS,MD + Linear Conflict Correction,4,7,8
513,10,RBFS,Inversion Distance,4,5,15
514,10,RBFS,Manhattan Distance,6,8,8
515,10,RBFS,MD + Linear Conflict Correction,4,5,6
516,10,RBFS,Inversion Distance,6,7,19
517,10,RBFS,Manhattan Distance,2,3,3
518,10,RBFS,MD + Linear Conflict Correction,2,3,3
519,10,RBFS,Inversion Distance,4,5,15
520,10,RBFS,Manhattan Distance,6,7,8
521,10,RBFS,MD + Linear Conflict Correction,4,5,5
522,10,RBFS,Inversion Distance,2,3,8
523,10,RBFS,Manhattan Distance,4,5,5
524,10,RBFS,MD + Linear Conflict Correction,4,5,6
525,10,RBFS,Inversion Distance,6,7,19
526,10,RBFS,Manhattan Distance,4,5,5
527,10,RBFS,MD + Linear Conflict Correction,8,9,13
528,10,RBFS,Inversion Distance,4,5,15
529,10,RBFS,Manhattan Distance,2,3,3
530,10,RBFS,MD + Linear Conflict Correction,4,5,6
531,10,RBFS,Inversion Distance,0,1,1
532,10,RBFS,Manhattan Distance,4,5,5
533,10,RBFS,MD + Linear Conflict Correction,4,5,6
534,10,RBFS,Inversion Distance,2,3,8
535,10,RBFS,Manhattan Distance,8,9,11
536,10,RBFS,MD + Linear Conflict Correction,2,3,3
537,10,RBFS,Inversion Distance,2,3,8
538,10,RBFS,Manhattan Distance,6,7,7
539,10,RBFS,MD + Linear Conflict Correction,2,3,3
540,10,RBFS,Inversion Distance,4,5,15
541,10,RBFS,Manhattan Distance,6,7,8
542,10,RBFS,MD + Linear Conflict Correction,2,3,3
543,10,RBFS,Inversion Distance,2,3,8
544,10,RBFS,Manhattan Distance,6,7,8
